date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,StDev,Min,Q1,Median,Q3,Max
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Juvenile Female,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Juvenile Male,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Adult Female,5464725.98156218,855089.585060542,3945229.61319511,4826000.27102897,5317572.10520622,5929229.74805226,9400056.44002142
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Adult Male,4287498.19574439,787069.198424545,2889244.16170042,3699608.21905296,4151973.91802088,4714935.68918439,7911238.82327728
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Overall,25068153.1167697,5637467.37169349,15099062.6401588,20860662.3920668,24087979.8461364,28115256.8387025,51204922.0358491
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Neonatal Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Juvenile Combined,15315928.9394632,3995319.80602504,8264588.86526326,12335053.9019849,14618433.8229093,17471091.4014658,33893626.7725504
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Adult Combined,9752224.17730656,1642158.7772946,6834473.77489553,8525608.49008193,9469546.0232271,10644165.4372366,17311295.2632987
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Female Combined,13122690.4512938,2852743.49863079,8077524.04582674,10993527.2220214,12626789.0166609,14664775.4487852,26346869.8262966
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth in,Male Combined,11945462.665476,2784723.88418293,7021538.59433205,9867135.17004542,11461190.8294755,13450481.3899173,24858052.2095525
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Neonatal Female,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Neonatal Male,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Juvenile Female,5464725.98156218,855089.585060542,3945229.61319511,4826000.27102897,5317572.10520622,5929229.74805226,9400056.44002142
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Juvenile Male,4287498.19574439,787069.198424545,2889244.16170042,3699608.21905296,4151973.91802088,4714935.68918439,7911238.82327728
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Adult Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Adult Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Overall,25068153.1167697,5637467.37169349,15099062.6401588,20860662.3920668,24087979.8461364,28115256.8387025,51204922.0358491
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Neonatal Combined,15315928.9394632,3995319.80602504,8264588.86526326,12335053.9019849,14618433.8229093,17471091.4014658,33893626.7725504
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Juvenile Combined,9752224.17730656,1642158.7772946,6834473.77489553,8525608.49008193,9469546.0232271,10644165.4372366,17311295.2632987
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Adult Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Female Combined,13122690.4512938,2852743.49863079,8077524.04582674,10993527.2220214,12626789.0166609,14664775.4487852,26346869.8262966
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Growth out,Male Combined,11945462.665476,2784723.88418293,7021538.59433205,9867135.17004542,11461190.8294755,13450481.3899173,24858052.2095525
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Neonatal Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Juvenile Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Juvenile Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Adult Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Adult Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Overall,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Neonatal Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Juvenile Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Adult Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Female Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Deaths,Male Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Female,109294.519631244,17101.7917012108,78904.5922639022,96520.0054205794,106351.442104124,118584.594961045,188001.128800428
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Male,1157624.51285098,212508.683574628,780095.923659112,998894.2191443,1121032.95786564,1273032.63607978,2136034.48228487
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Adult Female,606960.960209964,7584.70491505298,593435.570797722,601292.028661413,605665.453354232,611095.998431774,641680.955943639
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Adult Male,1870758.38991366,87556.1507009652,1714655.82468245,1805319.74907576,1855796.84161595,1918482.46386834,2271682.6714979
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Overall,3744638.38260585,324751.145086164,3167091.91140319,3502026.00230205,3688846.69493994,3921195.69334095,5237399.23852684
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Combined,1266919.03248223,229610.475036759,859000.515923015,1095414.22456488,1227384.39996976,1391617.23104083,2324035.61108529
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Adult Combined,2477719.35012362,95140.8555539885,2308091.39548017,2406611.77773717,2461462.29497018,2529578.46230012,2913363.62744154
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Female Combined,716255.479841208,24686.4825935221,672340.163061624,697812.034081992,712016.895458357,729680.59339282,829682.084744068
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Offtakes,Male Combined,3028382.90276464,300064.662938358,2494751.74834156,2804213.96822006,2976829.79948158,3191515.09994813,4407717.15378277
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Neonatal Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Juvenile Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Juvenile Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Adult Female,1686002.6672499,21068.6247640361,1648432.14110478,1670255.63517059,1682404.03709509,1697488.88453271,1782447.09984344
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Adult Male,866091.847182248,40535.2549541506,793822.141056689,835796.180127667,859165.204451827,888186.325864974,1051704.94050829
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Overall,2552094.51443215,61603.8795949883,2442254.28216147,2506051.81529826,2541569.24154692,2585675.21039768,2834152.04035173
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Neonatal Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Juvenile Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Adult Combined,2552094.51443215,61603.8795949883,2442254.28216147,2506051.81529826,2541569.24154692,2585675.21039768,2834152.04035173
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Female Combined,1686002.6672499,21068.6247640361,1648432.14110478,1670255.63517059,1682404.03709509,1697488.88453271,1782447.09984344
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Culls,Male Combined,866091.847182248,40535.2549541506,793822.141056689,835796.180127667,859165.204451827,888186.325864974,1051704.94050829
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Neonatal Female,18441882.9760479,5787390.91464403,8321753.00466959,14130920.9690214,17412307.584679,21534144.986112,45721805.8648217
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Neonatal Male,18441882.9760479,5787390.91464403,8321753.00466959,14130920.9690214,17412307.584679,21534144.986112,45721805.8648217
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Juvenile Female,13231984.970925,2869845.20694877,8156428.63809065,11090047.227442,12733140.458765,14783360.0437462,26534870.955097
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Juvenile Male,13103087.178327,2997231.62888561,7801634.51799116,10866029.3891897,12582223.7873412,14723514.0259971,26994086.6918373
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Adult Female,7757689.60902204,883742.840749674,6187097.32509761,7097547.93486097,7605641.59565554,8237814.63101675,11824184.4958085
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Adult Male,7024348.43284029,915160.299683584,5397722.12743955,6340724.14825639,6866935.96408865,7521604.4789177,11234626.4352835
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Overall,78000876.14321,19240601.9492078,44186388.6179582,63656190.6377919,74612556.9752085,88334583.1519017,168031380.30767
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Neonatal Combined,36883765.9520957,11574781.8292881,16643506.0093392,28261841.9380428,34824615.1693581,43068289.972224,91443611.7296434
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Juvenile Combined,26335072.149252,5867076.83178123,15958063.1560818,21956076.6166317,25315364.2461062,29506874.0697433,53528957.6469344
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Adult Combined,14782038.0418623,1798903.13898314,11584819.4525372,13438272.0831174,14472577.5597442,15759419.1099344,23058810.931092
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Female Combined,39431557.5559949,9540900.73723517,22665278.9678579,32318516.1313244,37751089.6390996,44555319.660875,84080861.3157272
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Sum,Male Combined,38569318.5872151,9699701.24059031,21521109.6501003,31337674.5064675,36861467.3361089,43779263.4910268,83950518.9919425
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Neonatal Female,10783918.5063163,3789785.83832994,4189458.57203796,7963394.01802894,10103090.6732244,12798599.2853791,28774992.4785465
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Neonatal Male,10783918.5063163,3789785.83832994,4189458.57203796,7963394.01802894,10103090.6732244,12798599.2853791,28774992.4785465
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Juvenile Female,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Juvenile Male,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Adult Female,5464725.98156218,855089.585060542,3945229.61319511,4826000.27102897,5317572.10520622,5929229.74805226,9400056.44002142
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Adult Male,4287498.19574439,787069.198424545,2889244.16170042,3699608.21905296,4151973.91802088,4714935.68918439,7911238.82327728
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Overall,46635990.1294023,13216863.0604713,23477979.7842347,36787450.4281247,44294161.1925852,53712455.4094606,108754906.992942
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Neonatal Combined,21567837.0126326,7579571.67665987,8378917.14407593,15926788.0360579,20206181.3464488,25597198.5707582,57549984.957093
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Juvenile Combined,15315928.9394632,3995319.80602504,8264588.86526326,12335053.9019849,14618433.8229093,17471091.4014658,33893626.7725504
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Adult Combined,9752224.17730656,1642158.7772946,6834473.77489553,8525608.49008193,9469546.0232271,10644165.4372366,17311295.2632987
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Female Combined,23906608.95761,6642439.68026846,12266982.6178647,18956921.2400504,22729879.6898853,27463374.7341642,55121862.3048431
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Inflow,Male Combined,22729381.1717922,6574423.40211555,11210997.16637,17830529.1880744,21564281.5026999,26249080.6752964,53633044.688099
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Neonatal Female,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Neonatal Male,7657964.46973158,1997659.90301252,4132294.43263163,6167526.95099246,7309216.91145466,8735545.7007329,16946813.3862752
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Juvenile Female,5574020.50119342,872191.376761753,4024134.20545901,4922520.27644955,5423923.54731034,6047814.34301331,9588057.56882185
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Juvenile Male,5445122.70859537,999577.881999171,3669340.08535953,4698502.43819726,5273006.87588652,5987968.32526417,10047273.3055621
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Adult Female,2292963.62745986,28653.3296790891,2241867.7119025,2271547.663832,2288069.49044932,2308584.88296448,2424128.05578708
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Adult Male,2736850.2370959,128091.405655116,2508477.96573914,2641115.92920343,2714962.04606777,2806668.78973332,3323387.61200619
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Overall,31364886.0138077,6023819.44145697,20708408.8337234,26868740.2096672,30318395.7826233,34622127.7424411,59276473.3147277
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Neonatal Combined,15315928.9394632,3995319.80602504,8264588.86526326,12335053.9019849,14618433.8229093,17471091.4014658,33893626.7725504
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Juvenile Combined,11019143.2097888,1871769.25172549,7693474.29081854,9621022.71464681,10696930.4231969,12035782.6682775,19635330.874384
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Adult Combined,5029813.86455577,156744.735126118,4750345.67764164,4912663.59303543,5003031.5365171,5115253.6726978,5747515.66779327
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Female Combined,15524948.5983849,2898498.11935114,10398296.3499931,13361594.891274,15021209.9492143,17091944.9267107,28958999.0108841
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Outflow,Male Combined,15839937.4154229,3125321.36346104,10310112.4837303,13507145.3183931,15297185.833409,17530182.8157304,30317474.3038435
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Neonatal Female,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Neonatal Male,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Juvenile Female,2083943.96853816,1125484.0113286,108160.227172619,1245006.6745429,1885293.36414432,2687731.35771959,7358755.81745334
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Juvenile Male,2212841.76113621,998100.507654249,462954.347272104,1469024.5127952,2036210.03556814,2747577.37546874,6899540.08071305
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Adult Female,3171762.35410231,826436.334502004,1703361.90129261,2554452.60719697,3029502.6147569,3620644.86508778,6975928.38423434
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Adult Male,1550647.95864848,658978.215501676,380766.195961278,1058492.28984953,1437011.87195311,1908266.89945107,4587851.21127109
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Overall,15271104.1155946,7193259.08592129,2769570.95051127,9918710.21845758,13975765.4099619,19090327.6670195,49478433.6782144
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Neonatal Combined,6251908.07316939,3584605.96334705,114328.278812659,3591734.13407298,5587747.52353943,8126107.16929236,23656358.1845426
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Juvenile Combined,4296785.72967438,2123584.33273038,571114.574444724,2714031.1873381,3921503.39971246,5435308.73318833,14258295.8981664
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Adult Combined,4722410.3127508,1485414.49441815,2084128.09725389,3612944.8970465,4466514.48671,5528911.76453885,11563779.5955054
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Female Combined,8381660.35922517,3744036.0081067,1868686.26787156,5595326.34877636,7708669.74067093,10371429.8074536,26162863.293959
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Difference,Male Combined,6889443.75636939,3449224.43944606,900884.682639712,4323383.86968122,6267095.66929097,8718897.85956598,23315570.3842555
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Neonatal Female,5196776.03658469,1792302.98167352,2127986.13940633,3866689.06703649,4864695.76176972,6133875.58464618,13899001.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Neonatal Male,5196776.03658469,1792302.98167352,2127986.13940633,3866689.06703649,4864695.76176972,6133875.58464618,13899001.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Juvenile Female,3999914.96853816,1125484.0113286,2024131.22717262,3160977.6745429,3801264.36414432,4603702.3577196,9274726.81745334
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Juvenile Male,3360227.76113621,998100.507654249,1610340.3472721,2616410.5127952,3183596.03556814,3894963.37546874,8046926.08071305
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Adult Female,17221391.3541023,826436.334502005,15752990.9012926,16604081.607197,17079131.6147569,17670273.8650878,21025557.3842343
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Adult Male,4599362.95864848,658978.215501676,3429481.19596128,4107207.28984953,4485726.87195311,4956981.89945107,7636566.21127109
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Overall,39574449.1155946,7193259.08592129,27072915.9505113,34222055.2184576,38279110.4099619,43393672.6670195,73781778.6782144
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Neonatal Combined,10393552.0731694,3584605.96334705,4255972.27881266,7733378.13407298,9729391.52353943,12267751.1692924,27798002.1845426
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Juvenile Combined,7360142.72967438,2123584.33273038,3634471.57444472,5777388.1873381,6984860.39971246,8498665.73318833,17321652.8981664
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Adult Combined,21820754.3127508,1485414.49441815,19182472.0972539,20711288.8970465,21564858.48671,22627255.7645388,28662123.5955054
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Female Combined,26418082.3592252,3744036.0081067,19905108.2678716,23631748.3487764,25745091.7406709,28407851.8074536,44199285.293959
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Population,Male Combined,13156366.7563694,3449224.43944606,7167807.68263971,10590306.8696812,12534018.669291,14985820.859566,29582493.3842554
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Female,109294.519631244,17101.7917012108,78904.5922639022,96520.0054205794,106351.442104124,118584.594961045,188001.128800428
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Male,1157624.51285098,212508.683574628,780095.923659112,998894.2191443,1121032.95786564,1273032.63607978,2136034.48228487
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Adult Female,606960.960209964,7584.70491505298,593435.570797722,601292.028661413,605665.453354232,611095.998431774,641680.955943639
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Adult Male,2736850.2370959,128091.405655116,2508477.96573914,2641115.92920343,2714962.04606777,2806668.78973332,3323387.61200619
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Overall,4610730.2297881,365286.350994599,3960914.05245987,4337822.18242972,4548011.89939177,4809382.01920592,6289104.17903512
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Combined,1266919.03248223,229610.475036759,859000.515923015,1095414.22456488,1227384.39996976,1391617.23104083,2324035.61108529
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Adult Combined,3343811.19730587,135676.110506533,3101913.53653686,3242407.95786484,3320627.49942201,3417764.78816509,3965068.56794983
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Female Combined,716255.479841208,24686.4825935221,672340.163061624,697812.034081992,712016.895458357,729680.59339282,829682.084744068
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Num Offtake,Male Combined,3894474.74994689,340599.868401079,3288573.88939825,3640010.14834773,3835995.00393341,4079701.4258131,5459422.09429106
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Female,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Male,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Female,2083943.96853816,1125484.0113286,108160.227172619,1245006.6745429,1885293.36414432,2687731.35771959,7358755.81745334
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Male,2212841.76113621,998100.507654249,462954.347272104,1469024.5127952,2036210.03556814,2747577.37546874,6899540.08071305
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Female,3171762.35410231,826436.334502004,1703361.90129261,2554452.60719697,3029502.6147569,3620644.86508778,6975928.38423434
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Male,1550647.95864848,658978.215501676,380766.195961278,1058492.28984953,1437011.87195311,1908266.89945107,4587851.21127109
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Overall,15271104.1155946,7193259.08592129,2769570.95051127,9918710.21845758,13975765.4099619,19090327.6670195,49478433.6782144
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Combined,6251908.07316939,3584605.96334705,114328.278812659,3591734.13407298,5587747.52353943,8126107.16929236,23656358.1845426
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Combined,4296785.72967438,2123584.33273038,571114.574444724,2714031.1873381,3921503.39971246,5435308.73318833,14258295.8981664
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Combined,4722410.3127508,1485414.49441815,2084128.09725389,3612944.8970465,4466514.48671,5528911.76453885,11563779.5955054
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Female Combined,8381660.35922517,3744036.0081067,1868686.26787156,5595326.34877636,7708669.74067093,10371429.8074536,26162863.293959
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Cml Pop Growth,Male Combined,6889443.75636939,3449224.43944606,900884.682639712,4323383.86968122,6267095.66929097,8718897.85956598,23315570.3842555
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Total Number Increase,Neonatal Female,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Total Number Increase,Neonatal Male,3125954.03658469,1792302.98167352,57164.1394063296,1795867.06703649,2793873.76176972,4063053.58464618,11828179.0922713
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Total Number Increase,Juvenile Female,2193238.48816941,1142585.27217259,187064.819436522,1341526.67996348,1991644.80624844,2806315.95268064,7546756.94625377
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Total Number Increase,Juvenile Male,3370466.2739872,1210602.70579842,1243050.27093122,2467918.73193949,3157242.99343378,4020610.01154852,9035574.56299791
2023-08-14,16:29,AL,10000,CLM,S,Ideal,Total Number Increase,Adult Female,3778723.31431228,834021.017944311,2296797.47209033,3155744.63585838,3635168.06811113,4231740.86351956,7617609.34017798
