species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,External,9472905.05993347,1378053.6364885,9387493.98011899,9558316.13974795
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,25321272.115475,1878592.20374529,25204837.9039142,25437706.3270357
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Non-infectious,9164348.33764157,1566569.70065995,9067253.12581878,9261443.54946436
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,External,21436199.3870873,23685087.6240144,19968209.4221811,22904189.3519935
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,62713039.0187211,67696728.1111506,58517229.4400647,66908848.5973775
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Non-infectious,50597431.6068732,54623215.5795225,47211911.8404043,53982951.3733421
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,External,9946550.31286546,1446956.31830469,9856868.67906077,10036231.9466702
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,26587335.7210715,1972521.81404269,26465079.7989259,26709591.6432171
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Non-infectious,9622565.75443595,1644898.18556615,9520615.78202988,9724515.72684202
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,External,22508009.3564417,24869342.0052149,20966619.8932901,24049398.8195932
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,65848690.9696572,71081564.5167075,61443090.912068,70254291.0272463
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Non-infectious,53127303.1872169,57354376.3584981,49572507.4324246,56682098.9420092
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,External,936755.342662072,142390.446882104,927930.053499557,945580.631824588
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Infectious,2044536.44461796,158387.686612414,2034719.6544839,2054353.23475202
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Non-infectious,813183.604707136,130041.676398155,805123.686204722,821243.523209549
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,External,-4845288.90071645,2142128.59612745,-4978056.96696018,-4712520.83447271
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,Infectious,-8460155.60668483,3543019.08997922,-8679750.16981776,-8240561.04355189
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,Non-infectious,-7468668.19245527,3195895.96535664,-7666748.2367643,-7270588.14814625
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Mortality,External,983593.113302787,149509.966267171,974326.559865545,992859.666740028
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Mortality,Infectious,2146763.27625439,166307.07700971,2136455.64623762,2157070.90627116
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Mortality,Non-infectious,853842.788935433,136543.762956271,845379.874338187,862305.70353268
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Production loss,External,-5087553.34575228,2249235.02593345,-5226959.81530818,-4948146.87619638
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Production loss,Infectious,-8883163.38701909,3720170.04447752,-9113737.67830863,-8652589.09572955
All Poultry,National,Small holder,Chick,Chick,Overall,2018,Production loss,Non-infectious,-7842101.60207805,3355690.7636239,-8050085.64860249,-7634117.55555361
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Mortality,External,1032772.77247554,156985.461621768,1023042.89154982,1042502.65340126
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Mortality,Infectious,2254101.44947265,174622.436928027,2243278.43757896,2264924.46136634
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Mortality,Non-infectious,896534.932375146,143370.95384252,887648.87187831,905420.992871982
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,External,-5341931.0130399,2361696.77722978,-5488307.80607357,-5195554.22000622
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,Infectious,-9327321.55637006,3906178.54670078,-9569424.56222404,-9085218.55051609
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,Non-infectious,-8234206.68218196,3523475.30180455,-8452589.93103259,-8015823.43333134
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,External,1084411.41460692,164834.731744358,1074195.03981828,1094627.78939557
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,Infectious,2366806.53135182,183353.564843361,2355442.36848729,2378170.69421634
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,Non-infectious,941361.682986844,150539.5042733,932031.319295426,950692.046678263
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,External,-5609027.5636919,2479781.61609094,-5762723.19637723,-5455331.93100656
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,Infectious,-9793687.63418859,4101487.47403522,-10047895.7903352,-9539479.47804195
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,Non-infectious,-8645917.01629108,3699649.06689425,-8875219.4275842,-8416614.60499795
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,External,1138631.98884488,173076.465373328,1127904.79550016,1149359.1821896
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,Infectious,2485146.86732495,192521.249155511,2473214.49594098,2497079.23870891
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,Non-infectious,988429.771129128,158066.482225827,978632.889083385,998226.65317487
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,External,-5889478.9418765,2603770.69689517,-6050859.35619608,-5728098.52755692
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,Infectious,-10283372.015898,4306561.84773641,-10550290.579852,-10016453.4519441
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,Non-infectious,-9078212.86710564,3884631.52023847,-9318980.3989634,-8837445.33524789
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,External,927179.532206308,145548.492708785,918158.508932276,936200.55548034
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,2519632.83547775,187114.364883899,2508035.58009497,2531230.09086054
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,1289669.64786534,162507.301972812,1279597.52601774,1299741.76971294
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,External,-9995439.01931518,6019326.26183033,-10368513.8708055,-9622364.16782489
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,-20975019.8572069,12098020.1931189,-21724849.1388485,-20225190.5755654
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,-19681678.6017635,11343973.2962501,-20384772.4313247,-18978584.7722024
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,External,973538.508729827,152825.917255021,964066.434297622,983010.583162031
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,2645614.47705862,196470.083236577,2633437.35889997,2657791.59521727
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,1354153.13013974,170632.666918011,1343577.40220928,1364728.85807021
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,External,-10495210.9702809,6320292.57492124,-10886939.5643457,-10103482.3762161
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,-22023770.8500672,12702921.2027735,-22811091.5957907,-21236450.1043437
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,-20665762.5318516,11911171.9610614,-21404011.0528908,-19927514.0108125
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,External,1022215.43408365,160467.213032817,1012269.7559351,1032161.1122322
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,2777895.20072773,206293.587501723,2765109.22665474,2790681.17480071
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,1421860.78653352,179164.300117776,1410756.27221559,1432965.30085146
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,External,-11019971.5187949,6636307.20366672,-11431286.5425629,-10608656.495027
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,-23124959.3925705,13338067.262911,-23951646.1755801,-22298272.6095609
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,-21699050.6584442,12506730.5591133,-22474211.6055352,-20923889.7113531
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,External,1073326.20570911,168490.573603548,1062883.24365815,1083769.16776007
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,2916789.96058904,216608.266975206,2903364.68780631,2930215.23337178
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,1492953.82575239,188122.514984489,1481294.08572718,1504613.56577759
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,External,-11570970.0947346,6968122.5638495,-12002850.869691,-11139089.3197783
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,-24281207.362199,14004970.6260553,-25149228.484359,-23413186.2400389
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,-22784003.1913663,13132067.0870678,-23597922.1858118,-21970084.1969208
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,External,1126992.51591959,176915.102206668,1116027.40577085,1137957.62606832
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,3062629.45845176,227438.680417678,3048532.92202408,3076725.99487944
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,1567601.51693733,197528.640601165,1555358.78991908,1579844.24395557
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,External,-12149518.5994713,7316528.69204145,-12602993.4131754,-11696043.7857672
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,-25495267.7303089,14705219.157357,-26406689.9085768,-24583845.5520409
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,-23923203.3509346,13788670.4414202,-24777818.2951023,-23068588.4067669
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,External,922013214.377257,146184941.848641,912952744.301705,931073684.452809
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,Infectious,2727608788.12029,197415176.418216,2715373093.55574,2739844482.68485
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,Non-infectious,1062545807.69741,160876431.326981,1052574766.40228,1072516848.99255
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,External,4884015058.59887,1712220042.31991,4777892510.95465,4990137606.24309
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,Infectious,16626165795.1558,4971671773.09816,16318024048.4343,16934307541.8773
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,Non-infectious,12996556365.5406,3944099838.1116,12752103016.8831,13241009714.1981
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,External,968113875.09612,153494188.941077,958600381.516791,977627368.67545
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,Infectious,2863989227.52631,207285935.239148,2851141748.23353,2876836706.81909
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,Non-infectious,1115673098.08228,168920252.893319,1105203504.72239,1126142691.44217
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,External,5128215811.52881,1797831044.43591,5016787136.50238,5239644486.55524
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,Infectious,17457474084.9136,5220255361.75307,17133925250.856,17781022918.9712
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,Non-infectious,13646384183.8176,4141304830.01718,13389708167.7273,13903060199.908
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,External,1016519568.85093,161168898.388134,1006530400.59263,1026508737.10923
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,Infectious,3007188688.90263,217650232.001126,2993698835.64521,3020678542.16006
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,Non-infectious,1171456752.98639,177366265.537975,1160463679.95851,1182449826.01428
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,External,5384626602.10525,1887722596.6577,5267626493.3275,5501626710.88301
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,Infectious,18330347789.1593,5481268129.84073,17990621513.3988,18670074064.9197
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,Non-infectious,14328703393.0085,4348370071.51804,14059193576.1136,14598213209.9034
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,External,1067345547.29348,169227343.307545,1056856920.62227,1077834173.96469
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,Infectious,3157548123.34777,228532743.601203,3143383777.42748,3171712469.26807
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,Non-infectious,1230029590.63571,186234578.814865,1218486863.95644,1241572317.31499
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,External,5653857932.21052,1982108726.49059,5531007817.99388,5776708046.42716
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,Infectious,19246865178.6172,5755331536.33276,18890152589.0687,19603577768.1657
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,Non-infectious,15045138562.6589,4565788575.09394,14762153254.9193,15328123870.3986
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,External,1120712824.65815,177688710.472925,1109699766.65338,1131725882.66293
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,Infectious,3315425529.51516,239959380.781282,3300552966.29885,3330298092.73148
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,Non-infectious,1291531070.1675,195546307.755599,1279411207.15426,1303650933.18074
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,External,5936550828.82104,2081214162.81512,5807558208.89357,6065543448.74851
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,Infectious,20209208437.5481,6043098113.1494,19834660218.5222,20583756656.574
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,Non-infectious,15797395490.7919,4794078003.84864,15500260917.6653,16094530063.9185
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,External,586990866.178037,81237018.1688199,581955836.14801,592025896.208064
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,Infectious,976127528.868547,87694833.3102865,970692246.664098,981562811.072996
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,Non-infectious,274269838.341544,53258122.0513697,270968926.393813,277570750.289275
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,External,3525779851.18371,1685100062.33217,3421338186.42675,3630221515.94067
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,Infectious,5902813928.68617,2791874384.62588,5729774941.24523,6075852916.12712
All Poultry,National,Village,Chick,Chick,Overall,2017,Production loss,Non-infectious,5073632270.61249,2351191013.87004,4927906619.57292,5219357921.65207
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,External,616340409.486939,85298869.0772609,611053627.95541,621627191.018467
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,Infectious,1024933905.31197,92079574.9758008,1019226858.9973,1030640951.62665
All Poultry,National,Village,Chick,Chick,Overall,2018,Mortality,Non-infectious,287983330.258621,55921028.1539382,284517372.713504,291449287.803739
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,External,3702068843.74289,1769355065.44878,3592405095.74809,3811732591.7377
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,Infectious,6197954625.12048,2931468103.85718,6016263688.30749,6379645561.93348
All Poultry,National,Village,Chick,Chick,Overall,2018,Production loss,Non-infectious,5327313884.14312,2468750564.56354,5174301950.55156,5480325817.73468
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,External,647157429.961286,89563812.5311239,641606309.353181,652708550.569391
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,Infectious,1076180600.57757,96683553.7245907,1070188201.94717,1082172999.20798
All Poultry,National,Village,Chick,Chick,Overall,2019,Mortality,Non-infectious,302382496.771552,58717079.5616351,298743241.349179,306021752.193926
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,External,3887172285.93004,1857822818.72122,3772025350.53549,4002319221.32459
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,Infectious,6507852356.37651,3078041509.05004,6317076872.72286,6698627840.03015
All Poultry,National,Village,Chick,Chick,Overall,2019,Production loss,Non-infectious,5593679578.35028,2592188092.79172,5433017048.07914,5754342108.62141
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,External,679515301.45935,94042003.15768,673686624.82084,685343978.09786
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,Infectious,1129989630.60645,101517731.41082,1123697612.04453,1136281649.16838
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,Non-infectious,317501621.61013,61652933.5397168,313680403.416638,321322839.803622
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,External,4081530900.22654,1950713959.65728,3960626618.06227,4202435182.39082
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,Infectious,6833244974.19533,3231943584.50254,6632930716.35901,7033559232.03166
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,Non-infectious,5873363557.26779,2721797497.4313,5704667900.4831,6042059214.05248
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,External,713491066.532317,98744103.3155641,707370956.061882,719611177.002753
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,Infectious,1186489112.13677,106593617.981361,1179882492.64675,1193095731.6268
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,Non-infectious,333376702.690636,64735580.2167027,329364423.58747,337388981.793803
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,External,4285607445.23787,2048249657.64015,4158657948.96538,4412556941.51036
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,Infectious,7174907222.9051,3393540763.72767,6964577252.17696,7385237193.63324
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,Non-infectious,6167031735.13118,2857887372.30287,5989901295.50725,6344162174.7551
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,External,160105694.068562,25375487.710715,158532933.946021,161678454.191103
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,434707348.018383,31424425.4404034,432759677.740284,436655018.296481
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,220646053.637857,24591969.5574603,219121855.581227,222170251.694487
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,External,7261486585.66944,3178458759.69572,7064487290.705,7458485880.63387
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,14359960094.5606,5928522073.05867,13992513241.5817,14727406947.5396
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,13760909431.4698,5736135032.10147,13405386631.7173,14116432231.2223
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,External,168110978.771991,26644262.0962507,166459580.643323,169762376.900658
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,456442715.419303,32995646.712424,454397661.6273,458487769.211307
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,231678356.31975,25821568.0353321,230077948.360289,233278764.279212
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,External,7624560914.95291,3337381697.68051,7417711655.24025,7831410174.66556
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,15077958099.2887,6224948176.71161,14692138903.6608,15463777294.9166
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,14448954903.0433,6022941783.70654,14075655963.3032,14822253842.7834
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,External,176516527.710591,27976475.2010632,174782559.675489,178250495.745692
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,479264851.19027,34645429.0480457,477117544.708666,481412157.671874
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,243262274.135738,27112646.4370976,241581845.778304,244942702.493173
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,External,8005788960.70056,3504250782.56453,7788597238.00227,8222980683.39884
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,15831856004.2531,6536195585.54719,15426745848.8438,16236966159.6624
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,15171402648.1954,6324088872.89187,14779438761.4684,15563366534.9225
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,External,185342354.096121,29375298.9611163,183521687.659264,187163020.532977
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,503228093.749785,36377700.5004484,500973421.944101,505482765.555469
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,255425387.842526,28468278.7589515,253660938.06722,257189837.617832
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,External,8406078408.73558,3679463321.69276,8178027099.90238,8634129717.56878
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,16623448804.4658,6863005364.82455,16198083141.286,17048814467.6455
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,15929972780.6052,6640293316.53647,15518410699.5418,16341534861.6687
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,External,194609471.800927,30844063.9091721,192697772.042228,196521171.559626
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,528389498.437275,38196585.5254712,526022093.041307,530756903.833244
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,268196657.234653,29891692.696898,266343984.970581,270049329.498724
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,External,8826382329.17236,3863436487.7774,8586928454.8975,9065836203.44722
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,17454621244.6891,7206155633.06577,17007987298.3503,17901255191.0278
All Poultry,National,Village,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,16726471419.6355,6972307982.36329,16294331234.5189,17158611604.7521
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,External,1113040916.10888,159628478.333818,1103147222.32032,1122934609.89745
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,Infectious,2252203993.00474,212938364.119449,2239006178.97791,2265401807.03157
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Mortality,Non-infectious,1468055193.7091,197456539.398614,1455816935.48757,1480293451.93063
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,External,2161722148.63911,886866086.833395,2106754629.14524,2216689668.13299
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,Infectious,4824094479.57399,1890288419.30902,4706935342.38293,4941253616.76505
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2017,Production loss,Non-infectious,3385467783.97628,1348011265.37708,3301918715.39915,3469016852.55341
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,External,1168692961.8842,167609902.179051,1158304583.41064,1179081340.35776
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,Infectious,2364814192.61975,223585282.370116,2350956487.88881,2378671897.35069
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Mortality,Non-infectious,1541457953.37349,207329366.397812,1528607782.23907,1554308124.50791
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,External,2269808256.07107,931209391.17502,2212092360.60251,2327524151.53963
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,Infectious,5065299203.55269,1984802840.27437,4942282109.50209,5188316297.6033
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2018,Production loss,Non-infectious,3554741173.17509,1415411828.64586,3467014651.16911,3642467695.18107
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,External,1227127609.94971,175990397.219946,1216219812.55669,1238035407.34274
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,Infectious,2483054902.21719,234764546.531189,2468504312.24706,2497605492.18732
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Mortality,Non-infectious,1618530851.0221,217695834.745576,1605038171.32923,1632023530.71497
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,External,2383298668.87462,977769860.733727,2322696978.63263,2443900359.11661
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,Infectious,5318564163.73032,2084042982.28799,5189396214.9772,5447732112.48345
All Small Ruminants,National,Crop livestock mixed,Adult female,Adult,Female,2019,Production loss,Non-infectious,3732478231.83385,1486182420.07809,3640365383.72757,3824591079.94012
